0 	 0.25
0.5 	 0.209306
1 	 0.17351
1.5 	 0.142432
2 	 0.115798
2.5 	 0.0932615
3 	 0.0744261
3.5 	 0.0588721
4 	 0.0461752
4.5 	 0.0359246
5 	 0.0277356
5.5 	 0.0212584
6 	 0.0161831
6.5 	 0.0122411
7 	 0.00920451
7.5 	 0.00688311
8 	 0.00512099
8.5 	 0.00379213
9 	 0.00279601
9.5 	 0.00205343
10 	 0.00150263
10.5 	 0.00109597
11 	 0.000796972
11.5 	 0.000577978
12 	 0.000418131
12.5 	 0.000301821
13 	 0.000217428
13.5 	 0.000156349
14 	 0.000112245
14.5 	 8.04643e-05
15 	 5.76059e-05
15.5 	 4.11925e-05
16 	 2.94244e-05
16.5 	 2.09983e-05
17 	 1.49724e-05
17.5 	 1.06675e-05
18 	 7.59526e-06
18.5 	 5.40449e-06
19 	 3.84353e-06
19.5 	 2.73208e-06
20 	 1.94118e-06
20.5 	 1.3787e-06
21 	 9.78863e-07
21.5 	 6.94766e-07
22 	 4.92987e-07
22.5 	 3.49723e-07
23 	 2.48037e-07
23.5 	 1.75883e-07
24 	 1.24696e-07
24.5 	 8.83925e-08
25 	 6.26493e-08
